#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000686name;Struggle for existence;;;;;;;;;;;
1000686desc;The Reich has declared war upon us yet again, determined to destroy the glorious revolution! This is our last chance at survival!;;;;;;;;;;X;
1000686a;To arms, comrades!;;;;;;;;;;X;
1000687name;Partition of the USSR;;;;;;;;;;;
1000687desc;Now that the Soviet Union has been completely destroyed, we need to manage our new territories. If we are allied with Japan, we will split our conquests based on the demarcation of the Yenisei River, as agreed upon. Otherwise, we will divide our conquests among Reichskommissariats and a Siberian protectorate state. If we took down the USSR on our own, we also have the option of claiming Vladivostok to serve as a military base and logistics hub on the Pacific coast.;;;;;;;;;;X;
1000687a;Cede territory to Japan based upon our agreement.;;;;;;;;;;X;
1000687b;Claim Vladivostok as our bastion in the east.;;;;;;;;;;X;
1000687c;We have no need for Vladivostok.;;;;;;;;;;X;
1000688name;Patrition of the USSR;;;;;;;;;;;
1000688desc;Now that the Soviet Union has been completely destroyed, we need to manage our new territories. Since we are allied with Germany, we will cede them any provinces west of the Yenisei River that came under our control, as agreed upon.;;;;;;;;;;X;
1000688a;Cede territory to Germany based upon our agreement.;;;;;;;;;;X;
1000689name;Destruction of Bolshevism;;;;;;;;;;;
1000689desc;To Adolf Hitler, the ideology of Bolshevism represented the single greatest threat to European civilization. Rejecting Marxist socialism, he wrote in Mein Kampf and frequently spoke about the destructive nature of communistic thought, believing that it was the final manifestation of Judaic infiltration into western society. This doctrine would eventually lead to the enslavement of all Europeans, and eventually the entire world under their Jewish masters.\n \nHitler also believed that the ideology of social democracy practiced by the Allied powers was little more than a preliminary stage of Bolshevist evolution, a view that was heavily influenced by his experience living in the Weimar Republic. The infection of Jewish international financiers and their grip over the peoples of the planet was facilitated by these forms of government, and he believed that only the Aryan race and the doctrine of National Socialism had the strength to wage a war of complete annihilation on those whom would seek to enslave Germany and the rest of the world.\n \nFinally, the Soviet Union has been destroyed and with it, the incubation chamber for all forms of Bolshevism and Marxist thought. As Hitler makes his victory speech, he hails the Wehrmacht's success as not just another victory for Germany, but the assurance of the continuance of western civilization. Congratulations!;;;;;;;;;;X;
1000689a;Hail Victory! We are the saviors of mankind!;;;;;;;;;;X;
1000690name;Expansion of Reichskommissariat Moskowien;;;;;;;;;;;
1000690desc;"Although Reichskommissariat Moskowien was not established in real history, it was planned for creation once the Wehrmacht had made sufficient progress and it would have become a critical component of Adolf Hitler's vision for his transformation of the east. Predicted to be the most difficult to manage and integrate out of all of the administrative divisions formed after the conquest of the USSR, it was to encompass territory all the way from Arkhangelsk to as far as the city of Sverdlovsk.\n \nNow that the Soviet Union has been obliterated, we can expand the borders of this Reichskommissariat to the Irtysh and Ob rivers, creating both a healthy buffer zone just to the east of the Urals and absorbing the Russian settlements in the mountains themselves. By doing so, the realization of Hitler's vision for Europe's geographical borders can finally be made a reality and our Wehrbauer can begin forming the ""living wall"" of the east to protect us from any incursions that burst forth from Siberia and Asia.";;;;;;;;;;X;
1000690a;We have drawn the map of the next thousand years.;;;;;;;;;;X;
1000690b;Continue the occupation of the Urals.;;;;;;;;;;X;
1000691name;Creation of Reichskommissariat Turkestan;;;;;;;;;;;
1000691desc;"The predominantly Muslim populations of Central Asia had a long-standing antagonism with Russia since the 19th century. Falling under Russian influence as part of the ""Great Game"" geopolitical maneuvering between the Russian and British Empires, Central Asia would eventually become part of the USSR in the form of Soviet Socialist Republics.\n \nAlfred Rosenberg proposed the creation of a Reichskommissariat in this region, though this was rejected by Adolf Hitler until the conquests in Europe could be consolidated.\n \nLittle more than a historical curiosity in reality, the concept of a German-dominated ""Panturkestan"", or ""Mohammed-Reich"" can now be created from our conquest of the USSR. We are prepared to install a German civil administration into the former Central Asian SSRs, we can choose to create client states based upon local ethnic divisions, or continue the occupation of this territory.";;;;;;;;;;X;
1000691a;We are the final victors of the Great Game.;;;;;;;;;;X;
1000691b;Create nationalist Central Asian states instead.;;;;;;;;;;X;
1000691c;Continue the occupation of Central Asia.;;;;;;;;;;X;
1000692name;Creation of the Siberian Protectorate;;;;;;;;;;;
1000692desc;The unique challenges posed by the occupation of Siberia in combination with Generalplan Ost need to handled with care and scrutiny. The annexation of territory beyond the Ural Mountains is not only a logistical nightmare, but could be a risk to our long-term goals. The Ostministerium has proposed the creation of a Siberian protectorate state that would serve a number of critical functions in the New Order.\n \nFirst, the deportations of native populations from our conquests need to be managed effectively. This Siberian protectorate would exist to absorb these populations and handle them appropriately, ensuring that insurgency in our eastern conquests is kept to a minimum. Economic exploitation of the vast resources of Siberia would also be facilitated through this regime. Finally, if we have reached an agreement with Japan, this state will serve as an effective buffer zone between our two empires. This protectorate would be fully subordinate to us, and would become an extension of the Reich and its future interests on the continent.;;;;;;;;;;X;
